2024-04-12 17:38:48.894 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-04-12 17:38:48.896 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-12 17:38:48.905 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-04-13 12:01:15.510 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-13 12:01:15.580 [main] INFO  c.billbasher.BillBasherApplication - Starting BillBasherApplication using Java 17.0.10 with PID 20068 (C:\Users\MiGa2\Desktop\Accenture Bootcamp\bill--basher-project\server\target\classes started by MiGa2 in C:\Users\MiGa2\Desktop\Accenture Bootcamp\bill--basher-project\server)
2024-04-13 12:01:15.581 [main] INFO  c.billbasher.BillBasherApplication - No active profile set, falling back to 1 default profile: "default"
2024-04-13 12:01:17.100 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-04-13 12:01:17.435 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 308 ms. Found 3 JPA repository interfaces.
2024-04-13 12:01:19.773 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-13 12:01:19.790 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-13 12:01:19.794 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-04-13 12:01:19.794 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-13 12:01:19.911 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-04-13 12:01:19.913 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4257 ms
2024-04-13 12:01:20.617 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-04-13 12:01:20.789 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
